# Berço    Linear [m]    H [mm]    u_H [mm]    V [mm]    u_V [mm]    L [mm]    u_L [mm]    Roll [mrad]    u_roll [mrad]    fH [mm]    dH [mm]    fV [mm]    dV [mm]
S04-B02     338.678      -1.357      0.022     0.048      0.030     -0.473      0.023        0.027             0.052       -1.449      0.092     -0.018      0.026
S04-B01     346.062      -1.460      0.022     0.019      0.030     -0.095      0.023       -0.030             0.052       -1.486      0.026      0.016     -0.075
S03-B11     347.887      -1.461      0.022     0.021      0.030     -0.070      0.025        0.041             0.052       -1.485      0.024      0.019     -0.080
S03-B10     349.748      -1.468      0.022     0.005      0.030     -0.141      0.023       -0.049             0.052       -1.479      0.011      0.020     -0.065
S03-B09     351.541      -1.540      0.030     0.113      0.025     -0.194      0.025        0.017             0.052       -1.470     -0.070      0.018      0.055
S03-B08     353.294      -1.525      0.022     0.011      0.030     -0.223      0.023       -0.103             0.052       -1.457     -0.068      0.014     -0.065
S03-B07     355.326      -1.466      0.022     0.050      0.030     -0.203      0.023       -0.080             0.052       -1.437     -0.029      0.007      0.003
S03-B06     357.357      -1.433      0.022     0.028      0.030     -0.149      0.023        0.157             0.052       -1.412     -0.021     -0.003     -0.009
S03-B05     359.110      -1.430      0.030     0.085      0.025     -0.135      0.025       -0.076             0.052       -1.387     -0.043     -0.014      0.059
S03-B04     360.903      -1.364      0.022     0.045      0.030     -0.252      0.023        0.114             0.052       -1.358     -0.006     -0.028      0.033
S03-B03     362.764      -1.228      0.022     0.024      0.030     -0.211      0.025       -0.004             0.052       -1.325      0.097     -0.044     -0.020
S03-B02     364.589      -1.250      0.022     0.013      0.030     -0.075      0.023        0.093             0.052       -1.289      0.039     -0.062      0.035
S03-B01     371.973      -1.143      0.022     0.131      0.030     -0.040      0.023        0.037             0.052       -1.123     -0.020     -0.156     -0.015
S02-B11     373.798      -1.132      0.022     0.220      0.030     -0.029      0.025        0.042             0.052       -1.079     -0.053     -0.183     -0.077
S02-B10     375.660      -1.127      0.022     0.150      0.030     -0.129      0.023       -0.062             0.052       -1.033     -0.094     -0.213      0.023
S02-B09     377.452      -1.062      0.030     0.248      0.025     -0.051      0.025        0.318             0.052       -0.989     -0.073     -0.243     -0.045
S02-B08     379.206      -1.037      0.022     0.169      0.030     -0.068      0.023       -0.094             0.052       -0.946     -0.091     -0.273      0.064
S02-B07     381.237      -0.910      0.022     0.206      0.030     -0.183      0.023        0.084             0.052       -0.897     -0.013     -0.309      0.063
S02-B06     383.268      -0.802      0.022     0.233      0.030     -0.117      0.023       -0.059             0.052       -0.849      0.047     -0.345      0.072
S02-B05     385.022      -0.830      0.030     0.327      0.025     -0.122      0.025        0.309             0.052       -0.809     -0.021     -0.377      0.010
S02-B04     386.814      -0.816      0.022     0.312      0.030     -0.272      0.023        0.156             0.052       -0.771     -0.045     -0.409      0.057
